,index,url_title,url,title,numbers,year,yellow,inrange,include,pages
2046,2047,"https://www.loc.gov/resource/usteledirec.usteledirec02047:<title>Image 1 of California - White Pages and Yellow Pages - Fresno County - December 1958 thru December 1959  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02047,"<title>Image 1 of California - White Pages and Yellow Pages - Fresno County - December 1958 thru December 1959  | Library of Congress</title>
","['1', '1958', '1959']",1958.0,1,1,1,498
2047,2048,"https://www.loc.gov/resource/usteledirec.usteledirec02048:<title>Image 1 of California - White Pages and Yellow Pages - Fresno County - December 1960 thru December 1961  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02048,"<title>Image 1 of California - White Pages and Yellow Pages - Fresno County - December 1960 thru December 1961  | Library of Congress</title>
","['1', '1960', '1961']",1960.0,1,1,1,573
2062,2063,"https://www.loc.gov/resource/usteledirec.usteledirec02063:<title>Image 1 of California - White Pages and Yellow Pages - Gilroy - January 1953 thru January 1962  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02063,"<title>Image 1 of California - White Pages and Yellow Pages - Gilroy - January 1953 thru January 1962  | Library of Congress</title>
","['1', '1953', '1962']",1953.0,1,1,1,696
2083,2084,"https://www.loc.gov/resource/usteledirec.usteledirec02084:<title>Image 1 of California - White Pages and Yellow Pages - Glenn and Tehama Counties - December 1950 thru August 1955  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02084,"<title>Image 1 of California - White Pages and Yellow Pages - Glenn and Tehama Counties - December 1950 thru August 1955  | Library of Congress</title>
","['1', '1950', '1955']",1950.0,1,1,1,641
2084,2085,"https://www.loc.gov/resource/usteledirec.usteledirec02085:<title>Image 1 of California - White Pages and Yellow Pages - Glenn and Tehama Counties - August 1956 thru August 1960  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02085,"<title>Image 1 of California - White Pages and Yellow Pages - Glenn and Tehama Counties - August 1956 thru August 1960  | Library of Congress</title>
","['1', '1956', '1960']",1956.0,1,1,1,527
2091,2092,"https://www.loc.gov/resource/usteledirec.usteledirec02092:<title>Image 1 of California - White Pages and Yellow Pages - Hayward - September 1952 thru September 1953  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02092,"<title>Image 1 of California - White Pages and Yellow Pages - Hayward - September 1952 thru September 1953  | Library of Congress</title>
","['1', '1952', '1953']",1952.0,1,1,1,467
2092,2093,"https://www.loc.gov/resource/usteledirec.usteledirec02093:<title>Image 1 of California - White Pages and Yellow Pages - Hayward - October 1954 thru October 1955  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02093,"<title>Image 1 of California - White Pages and Yellow Pages - Hayward - October 1954 thru October 1955  | Library of Congress</title>
","['1', '1954', '1955']",1954.0,1,1,1,543
2094,2095,"https://www.loc.gov/resource/usteledirec.usteledirec02095:<title>Image 1 of California - White Pages and Yellow Pages - Hemet - November 1953 thru November 1957  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02095,"<title>Image 1 of California - White Pages and Yellow Pages - Hemet - November 1953 thru November 1957  | Library of Congress</title>
","['1', '1953', '1957']",1953.0,1,1,1,546
2095,2096,"https://www.loc.gov/resource/usteledirec.usteledirec02096:<title>Image 1 of California - White Pages and Yellow Pages - Hemet - November 1958 thru September 1962  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02096,"<title>Image 1 of California - White Pages and Yellow Pages - Hemet - November 1958 thru September 1962  | Library of Congress</title>
","['1', '1958', '1962']",1958.0,1,1,1,523
2119,2120,"https://www.loc.gov/resource/usteledirec.usteledirec02120:<title>Image 1 of California - White Pages and Yellow Pages - Hot Springs - June 1963  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02120,"<title>Image 1 of California - White Pages and Yellow Pages - Hot Springs - June 1963  | Library of Congress</title>
","['1', '1963']",1963.0,1,1,1,24
2122,2123,"https://www.loc.gov/resource/usteledirec.usteledirec02123:<title>Image 1 of California - White Pages and Yellow Pages - Humboldt County - September 1951 thru September 1953  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02123,"<title>Image 1 of California - White Pages and Yellow Pages - Humboldt County - September 1951 thru September 1953  | Library of Congress</title>
","['1', '1951', '1953']",1951.0,1,1,1,532
2123,2124,"https://www.loc.gov/resource/usteledirec.usteledirec02124:<title>Image 1 of California - White Pages and Yellow Pages - Humboldt County - September 1954 thru October 1956  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02124,"<title>Image 1 of California - White Pages and Yellow Pages - Humboldt County - September 1954 thru October 1956  | Library of Congress</title>
","['1', '1954', '1956']",1954.0,1,1,1,500
2124,2125,"https://www.loc.gov/resource/usteledirec.usteledirec02125:<title>Image 1 of California - White Pages and Yellow Pages - Humboldt County - October 1957 thru October 1959  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02125,"<title>Image 1 of California - White Pages and Yellow Pages - Humboldt County - October 1957 thru October 1959  | Library of Congress</title>
","['1', '1957', '1959']",1957.0,1,1,1,1099
2125,2126,"https://www.loc.gov/resource/usteledirec.usteledirec02126:<title>Image 1 of California - White Pages and Yellow Pages - Humboldt County - October 1960 thru October 1961  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02126,"<title>Image 1 of California - White Pages and Yellow Pages - Humboldt County - October 1960 thru October 1961  | Library of Congress</title>
","['1', '1960', '1961']",1960.0,1,1,1,483
2134,2135,"https://www.loc.gov/resource/usteledirec.usteledirec02135:<title>Image 1 of California - White Pages and Yellow Pages - Huntington Beach - November 1955 thru November 1958  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02135,"<title>Image 1 of California - White Pages and Yellow Pages - Huntington Beach - November 1955 thru November 1958  | Library of Congress</title>
","['1', '1955', '1958']",1955.0,1,1,1,260
2135,2136,"https://www.loc.gov/resource/usteledirec.usteledirec02136:<title>Image 1 of California - White Pages and Yellow Pages - Huntington Beach - November 1959  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02136,"<title>Image 1 of California - White Pages and Yellow Pages - Huntington Beach - November 1959  | Library of Congress</title>
","['1', '1959']",1959.0,1,1,1,461
2136,2137,"https://www.loc.gov/resource/usteledirec.usteledirec02137:<title>Image 1 of California - White Pages and Yellow Pages - Huntington Beach - November 1960  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02137,"<title>Image 1 of California - White Pages and Yellow Pages - Huntington Beach - November 1960  | Library of Congress</title>
","['1', '1960']",1960.0,1,1,1,383
2137,2138,"https://www.loc.gov/resource/usteledirec.usteledirec02138:<title>Image 1 of California - White Pages and Yellow Pages - Huntington Beach - November 1961  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02138,"<title>Image 1 of California - White Pages and Yellow Pages - Huntington Beach - November 1961  | Library of Congress</title>
","['1', '1961']",1961.0,1,1,1,421
2138,2139,"https://www.loc.gov/resource/usteledirec.usteledirec02139:<title>Image 1 of California - White Pages and Yellow Pages - Huntington Beach - November 1962  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02139,"<title>Image 1 of California - White Pages and Yellow Pages - Huntington Beach - November 1962  | Library of Congress</title>
","['1', '1962']",1962.0,1,1,1,481
2139,2140,"https://www.loc.gov/resource/usteledirec.usteledirec02140:<title>Image 1 of California - White Pages and Yellow Pages - Huntington Beach - November 1963  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02140,"<title>Image 1 of California - White Pages and Yellow Pages - Huntington Beach - November 1963  | Library of Congress</title>
","['1', '1963']",1963.0,1,1,1,553
2168,2169,"https://www.loc.gov/resource/usteledirec.usteledirec02169:<title>Image 1 of California - White Pages and Yellow Pages - Imperial County - February 1951 thru February 1953  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02169,"<title>Image 1 of California - White Pages and Yellow Pages - Imperial County - February 1951 thru February 1953  | Library of Congress</title>
","['1', '1951', '1953']",1951.0,1,1,1,550
2170,2171,"https://www.loc.gov/resource/usteledirec.usteledirec02171:<title>Image 1 of California - White Pages and Yellow Pages - Imperial County - February 1954 thru March 1956  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02171,"<title>Image 1 of California - White Pages and Yellow Pages - Imperial County - February 1954 thru March 1956  | Library of Congress</title>
","['1', '1954', '1956']",1954.0,1,1,1,543
2172,2173,"https://www.loc.gov/resource/usteledirec.usteledirec02173:<title>Image 1 of California - White Pages and Yellow Pages - Imperial County - March 1958 thru March 1960  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02173,"<title>Image 1 of California - White Pages and Yellow Pages - Imperial County - March 1958 thru March 1960  | Library of Congress</title>
","['1', '1958', '1960']",1958.0,1,1,1,944
2174,2175,"https://www.loc.gov/resource/usteledirec.usteledirec02175:<title>Image 1 of California - White Pages and Yellow Pages - Imperial County - March 1961 thru March 1963  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02175,"<title>Image 1 of California - White Pages and Yellow Pages - Imperial County - March 1961 thru March 1963  | Library of Congress</title>
","['1', '1961', '1963']",1961.0,1,1,1,563
2179,2180,"https://www.loc.gov/resource/usteledirec.usteledirec02180:<title>Image 1 of California - White Pages and Yellow Pages - Lompoc - July 1951 thru Jule 1958  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02180,"<title>Image 1 of California - White Pages and Yellow Pages - Lompoc - July 1951 thru Jule 1958  | Library of Congress</title>
","['1', '1951', '1958']",1951.0,1,1,1,562
2183,2184,"https://www.loc.gov/resource/usteledirec.usteledirec02184:<title>Image 1 of California - White Pages and Yellow Pages - Lompoc - July 1959 thru July 1963  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02184,"<title>Image 1 of California - White Pages and Yellow Pages - Lompoc - July 1959 thru July 1963  | Library of Congress</title>
","['1', '1959', '1963']",1959.0,1,1,1,592
2231,2232,"https://www.loc.gov/resource/usteledirec.usteledirec02232:<title>Image 1 of California - White Pages and Yellow Pages - Los Altos - January 1957  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02232,"<title>Image 1 of California - White Pages and Yellow Pages - Los Altos - January 1957  | Library of Congress</title>
","['1', '1957']",1957.0,1,1,1,488
2233,2234,"https://www.loc.gov/resource/usteledirec.usteledirec02234:<title>Image 1 of California - White Pages and Yellow Pages - Los Altos - February 1958  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02234,"<title>Image 1 of California - White Pages and Yellow Pages - Los Altos - February 1958  | Library of Congress</title>
","['1', '1958']",1958.0,1,1,1,537
2234,2235,"https://www.loc.gov/resource/usteledirec.usteledirec02235:<title>Image 1 of California - White Pages and Yellow Pages - Los Altos - January 1952 thru January 1953  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02235,"<title>Image 1 of California - White Pages and Yellow Pages - Los Altos - January 1952 thru January 1953  | Library of Congress</title>
","['1', '1952', '1953']",1952.0,1,1,1,550
2235,2236,"https://www.loc.gov/resource/usteledirec.usteledirec02236:<title>Image 1 of California - White Pages and Yellow Pages - Los Altos - February 1959  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02236,"<title>Image 1 of California - White Pages and Yellow Pages - Los Altos - February 1959  | Library of Congress</title>
","['1', '1959']",1959.0,1,1,1,368
2236,2237,"https://www.loc.gov/resource/usteledirec.usteledirec02237:<title>Image 1 of California - White Pages and Yellow Pages - Los Altos - January 1954  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02237,"<title>Image 1 of California - White Pages and Yellow Pages - Los Altos - January 1954  | Library of Congress</title>
","['1', '1954']",1954.0,1,1,1,320
2237,2238,"https://www.loc.gov/resource/usteledirec.usteledirec02238:<title>Image 1 of California - White Pages and Yellow Pages - Los Altos - February 1960  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02238,"<title>Image 1 of California - White Pages and Yellow Pages - Los Altos - February 1960  | Library of Congress</title>
","['1', '1960']",1960.0,1,1,1,311
2238,2239,"https://www.loc.gov/resource/usteledirec.usteledirec02239:<title>Image 1 of California - White Pages and Yellow Pages - Los Altos - January 1955  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02239,"<title>Image 1 of California - White Pages and Yellow Pages - Los Altos - January 1955  | Library of Congress</title>
","['1', '1955']",1955.0,1,1,1,380
2239,2240,"https://www.loc.gov/resource/usteledirec.usteledirec02240:<title>Image 1 of California - White Pages and Yellow Pages - Los Altos - February 1961  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02240,"<title>Image 1 of California - White Pages and Yellow Pages - Los Altos - February 1961  | Library of Congress</title>
","['1', '1961']",1961.0,1,1,1,334
2240,2241,"https://www.loc.gov/resource/usteledirec.usteledirec02241:<title>Image 1 of California - White Pages and Yellow Pages - Los Altos - January 1956  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02241,"<title>Image 1 of California - White Pages and Yellow Pages - Los Altos - January 1956  | Library of Congress</title>
","['1', '1956']",1956.0,1,1,1,421
2241,2242,"https://www.loc.gov/resource/usteledirec.usteledirec02242:<title>Image 1 of California - White Pages and Yellow Pages - Los Altos - February 1962  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02242,"<title>Image 1 of California - White Pages and Yellow Pages - Los Altos - February 1962  | Library of Congress</title>
","['1', '1962']",1962.0,1,1,1,359
2242,2243,"https://www.loc.gov/resource/usteledirec.usteledirec02243:<title>Image 1 of California - White Pages and Yellow Pages - Los Altos - February 1963  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02243,"<title>Image 1 of California - White Pages and Yellow Pages - Los Altos - February 1963  | Library of Congress</title>
","['1', '1963']",1963.0,1,1,1,382
2307,2308,"https://www.loc.gov/resource/usteledirec.usteledirec02308:<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1951 A through MER  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02308,"<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1951 A through MER  | Library of Congress</title>
","['1', '1951']",1951.0,1,1,1,491
2309,2310,"https://www.loc.gov/resource/usteledirec.usteledirec02310:<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1951 MES through Z  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02310,"<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1951 MES through Z  | Library of Congress</title>
","['1', '1951']",1951.0,1,1,1,430
2314,2315,"https://www.loc.gov/resource/usteledirec.usteledirec02315:<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - September 1950 A through NAI  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02315,"<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - September 1950 A through NAI  | Library of Congress</title>
","['1', '1950']",1950.0,1,1,1,504
2315,2316,"https://www.loc.gov/resource/usteledirec.usteledirec02316:<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1952 A through LUM  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02316,"<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1952 A through LUM  | Library of Congress</title>
","['1', '1952']",1952.0,1,1,1,506
2316,2317,"https://www.loc.gov/resource/usteledirec.usteledirec02317:<title>Image 1 of California - White Pages and Yellow Pages - Los Angeles Central Area - September 1950 NAM through Z thru August 1951  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02317,"<title>Image 1 of California - White Pages and Yellow Pages - Los Angeles Central Area - September 1950 NAM through Z thru August 1951  | Library of Congress</title>
","['1', '1950', '1951']",1950.0,1,1,1,383
2317,2318,"https://www.loc.gov/resource/usteledirec.usteledirec02318:<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1952 MAC through Z  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02318,"<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1952 MAC through Z  | Library of Congress</title>
","['1', '1952']",1952.0,1,1,1,505
2319,2320,"https://www.loc.gov/resource/usteledirec.usteledirec02320:<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1954 A (Includes Index) through JAN  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02320,"<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1954 A (Includes Index) through JAN  | Library of Congress</title>
","['1', '1954']",1954.0,1,1,1,477
2322,2323,"https://www.loc.gov/resource/usteledirec.usteledirec02323:<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1953 A through MONEL  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02323,"<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1953 A through MONEL  | Library of Congress</title>
","['1', '1953']",1953.0,1,1,1,530
2325,2326,"https://www.loc.gov/resource/usteledirec.usteledirec02326:<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1953 MONEY through Z  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02326,"<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1953 MONEY through Z  | Library of Congress</title>
","['1', '1953']",1953.0,1,1,1,453
2327,2328,"https://www.loc.gov/resource/usteledirec.usteledirec02328:<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1955 A (Includes Index) through HUM  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02328,"<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1955 A (Includes Index) through HUM  | Library of Congress</title>
","['1', '1955']",1955.0,1,1,1,445
2328,2329,"https://www.loc.gov/resource/usteledirec.usteledirec02329:<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1954 JAR through Z  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02329,"<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1954 JAR through Z  | Library of Congress</title>
","['1', '1954']",1954.0,1,1,1,539
2329,2330,"https://www.loc.gov/resource/usteledirec.usteledirec02330:<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1955 HYD through Z  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02330,"<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1955 HYD through Z  | Library of Congress</title>
","['1', '1955']",1955.0,1,1,1,577
2331,2332,"https://www.loc.gov/resource/usteledirec.usteledirec02332:<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1957 A through MES  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02332,"<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1957 A through MES  | Library of Congress</title>
","['1', '1957']",1957.0,1,1,1,563
2333,2334,"https://www.loc.gov/resource/usteledirec.usteledirec02334:<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1957 MET through Z  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02334,"<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1957 MET through Z  | Library of Congress</title>
","['1', '1957']",1957.0,1,1,1,531
2334,2335,"https://www.loc.gov/resource/usteledirec.usteledirec02335:<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1956 A through MUF  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02335,"<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1956 A through MUF  | Library of Congress</title>
","['1', '1956']",1956.0,1,1,1,589
2335,2336,"https://www.loc.gov/resource/usteledirec.usteledirec02336:<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1959 MAG through Z  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02336,"<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1959 MAG through Z  | Library of Congress</title>
","['1', '1959']",1959.0,1,1,1,555
2336,2337,"https://www.loc.gov/resource/usteledirec.usteledirec02337:<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1956 MUL through Z  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02337,"<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1956 MUL through Z  | Library of Congress</title>
","['1', '1956']",1956.0,1,1,1,482
2341,2342,"https://www.loc.gov/resource/usteledirec.usteledirec02342:<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1958 A through LOT  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02342,"<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1958 A through LOT  | Library of Congress</title>
","['1', '1958']",1958.0,1,1,1,529
2342,2343,"https://www.loc.gov/resource/usteledirec.usteledirec02343:<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1958 LOU through Z  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02343,"<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1958 LOU through Z  | Library of Congress</title>
","['1', '1958']",1958.0,1,1,1,553
2343,2344,"https://www.loc.gov/resource/usteledirec.usteledirec02344:<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1960 A (Includes Index) through FOUNDRI  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02344,"<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1960 A (Includes Index) through FOUNDRI  | Library of Congress</title>
","['1', '1960']",1960.0,1,1,1,433
2345,2346,"https://www.loc.gov/resource/usteledirec.usteledirec02346:<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1960 FOUNDRY through PRINTERS  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02346,"<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1960 FOUNDRY through PRINTERS  | Library of Congress</title>
","['1', '1960']",1960.0,1,1,1,406
2347,2348,"https://www.loc.gov/resource/usteledirec.usteledirec02348:<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1960 PRINTING through Z  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02348,"<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1960 PRINTING through Z  | Library of Congress</title>
","['1', '1960']",1960.0,1,1,1,378
2348,2349,"https://www.loc.gov/resource/usteledirec.usteledirec02349:<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1959 A (Includes Index) through MAC  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02349,"<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1959 A (Includes Index) through MAC  | Library of Congress</title>
","['1', '1959']",1959.0,1,1,1,576
2353,2354,"https://www.loc.gov/resource/usteledirec.usteledirec02354:<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1961 EXTR through PUB  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02354,"<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1961 EXTR through PUB  | Library of Congress</title>
","['1', '1961']",1961.0,1,1,1,455
2354,2355,"https://www.loc.gov/resource/usteledirec.usteledirec02355:<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1961 A (Includes Index) through EXTE  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02355,"<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1961 A (Includes Index) through EXTE  | Library of Congress</title>
","['1', '1961']",1961.0,1,1,1,417
2355,2356,"https://www.loc.gov/resource/usteledirec.usteledirec02356:<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1962 PRIN through Z  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02356,"<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1962 PRIN through Z  | Library of Congress</title>
","['1', '1962']",1962.0,1,1,1,396
2356,2357,"https://www.loc.gov/resource/usteledirec.usteledirec02357:<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1961 PUL through Z  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02357,"<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1961 PUL through Z  | Library of Congress</title>
","['1', '1961']",1961.0,1,1,1,380
2361,2362,"https://www.loc.gov/resource/usteledirec.usteledirec02362:<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1963 A (Includes Index) through FEE  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02362,"<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1963 A (Includes Index) through FEE  | Library of Congress</title>
","['1', '1963']",1963.0,1,1,1,461
2362,2363,"https://www.loc.gov/resource/usteledirec.usteledirec02363:<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1962 A (Includes Index) through ELA  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02363,"<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1962 A (Includes Index) through ELA  | Library of Congress</title>
","['1', '1962']",1962.0,1,1,1,398
2363,2364,"https://www.loc.gov/resource/usteledirec.usteledirec02364:<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1963 PLA through Z  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02364,"<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1963 PLA through Z  | Library of Congress</title>
","['1', '1963']",1963.0,1,1,1,443
2364,2365,"https://www.loc.gov/resource/usteledirec.usteledirec02365:<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1962 ELE through PRIC  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02365,"<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1962 ELE through PRIC  | Library of Congress</title>
","['1', '1962']",1962.0,1,1,1,513
2373,2374,"https://www.loc.gov/resource/usteledirec.usteledirec02374:<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1963 FEL through PIZ  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02374,"<title>Image 1 of California - Yellow Pages - Los Angeles Central Area - August 1963 FEL through PIZ  | Library of Congress</title>
","['1', '1963']",1963.0,1,1,1,432
2447,2448,"https://www.loc.gov/resource/usteledirec.usteledirec02448:<title>Image 1 of California - Yellow Pages - Los Angeles Northeastern Section - December 1954  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02448,"<title>Image 1 of California - Yellow Pages - Los Angeles Northeastern Section - December 1954  | Library of Congress</title>
","['1', '1954']",1954.0,1,1,1,143
2449,2450,"https://www.loc.gov/resource/usteledirec.usteledirec02450:<title>Image 1 of California - White Pages and Yellow Pages - Los Angeles Northeastern Section - December 1953  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02450,"<title>Image 1 of California - White Pages and Yellow Pages - Los Angeles Northeastern Section - December 1953  | Library of Congress</title>
","['1', '1953']",1953.0,1,1,1,453
2451,2452,"https://www.loc.gov/resource/usteledirec.usteledirec02452:<title>Image 1 of California - White Pages and Yellow Pages - Los Angeles Northeastern Section - December 1952  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec02452,"<title>Image 1 of California - White Pages and Yellow Pages - Los Angeles Northeastern Section - December 1952  | Library of Congress</title>
","['1', '1952']",1952.0,1,1,1,416
