GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "49000","Utah",7,SAINC50,82,"...","   Less: Refunds","Thousands of dollars",5313,6554,4890,5024,6488,8468,9533,9521,10837,12311,13788,14975,16935,19554,22963,25532,27965,22984,26476,34124,41716,47107,61785,71403,74386,112657,128699,189039,151791,172267,191689,210802,265669,278454,350816,441788,377515,402111,430768,431993,375508,325424,320080,340018,348618,326282,378953,442415,488034,547871,627274,836809,903193,1000624,1210843,1175464,1219065,1239742,1354231,1473871,2161357,2198203,2010529,1845526,1838587,1800469,1814558,1832591,1983260,2136238,2289327,2119130,2112944
 "49000","Utah",7,SAINC50,120,"..."," State governments","Thousands of dollars",4862,5420,6371,8659,8575,7922,8666,10133,12235,14100,15056,18095,19904,20364,22426,24547,25996,32747,46023,47102,54480,68349,64184,74655,91945,106392,107294,130296,166015,185089,221278,269022,301030,339117,345161,393233,441382,477439,561119,613958,661538,540981,739121,731381,872151,934003,1043999,1214967,1184961,1228786,1561202,1648632,1760396,1814863,1651407,1664716,1817474,2118843,2450962,2824936,2561411,2448042,2310622,2485100,2709370,3027737,3120659,3436559,3628466,3905717,4506474,4780828,4414752
 "49000","Utah",7,SAINC50,130,"...","  Income taxes","Thousands of dollars",3764,4241,4920,6635,6278,5382,5993,7344,9143,10740,11613,14221,15768,15922,17596,19605,20876,27307,40769,41341,47005,60865,55869,65408,81196,95103,96434,119084,153114,171960,207866,251728,278934,320157,322580,366809,413957,446546,528357,576546,619609,498040,693441,683056,820164,885674,993226,1162437,1135980,1164519,1487864,1578484,1685257,1739336,1573581,1586585,1731545,2026308,2345552,2617466,2372475,2254472,2134893,2354767,2563290,2889565,2979871,3291399,3472644,3740479,4324555,4590882,4224031
 "49000","Utah",7,SAINC50,150,"...","  Motor vehicle licenses","Thousands of dollars",653,715,791,927,1011,1093,1113,1190,1382,1563,1586,1826,1938,2208,2497,2578,2658,2857,2988,3328,4191,4477,4793,5389,6346,6896,6721,6834,7491,7972,8448,11452,14538,10593,13833,17379,19519,20278,22791,26404,27294,28272,29828,32018,38222,36357,36672,37369,35009,50624,58130,50865,54199,54859,58336,60191,65764,71198,81779,181691,162226,166286,147502,103644,118507,111672,115047,117158,125511,133996,148635,157039,156791
 "49000","Utah",7,SAINC50,160,"...","  Other taxes 5/","Thousands of dollars",445,464,660,1097,1286,1447,1560,1599,1710,1797,1857,2048,2198,2234,2333,2364,2462,2583,2266,2433,3284,3007,3522,3858,4403,4393,4139,4378,5410,5157,4964,5842,7558,8367,8748,9045,7906,10615,9971,11008,14635,14669,15852,16307,13765,11972,14101,15161,13972,13643,15208,19283,20940,20668,19490,17940,20165,21337,23631,25779,26710,27284,28227,26689,27573,26500,25741,28002,30311,31242,33284,32907,33930
 "49000","Utah",7,SAINC50,180,"..."," Local governments","Thousands of dollars",115,124,123,98,85,82,82,143,159,229,172,240,215,401,559,830,820,712,700,587,571,551,561,535,521,521,811,910,1408,1463,2233,2199,2325,2605,2689,2898,3312,3350,2346,2557,2847,3020,2892,3216,3522,5139,6414,6460,8274,8935,11715,18012,10462,10659,10704,12278,17873,22578,20994,21495,16260,9511,11045,21844,20429,21345,26742,28987,23807,26537,30660,32504,33841
 "49000","Utah",7,SAINC50,190,"...","  Income taxes","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "49000","Utah",7,SAINC50,200,"...","  Motor vehicle licenses","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,388,394,405
 "49000","Utah",7,SAINC50,210,"...","  Other taxes","Thousands of dollars",115,124,123,98,85,82,82,143,159,229,172,240,215,401,559,830,820,712,700,587,571,551,561,535,521,521,811,910,1408,1463,2233,2199,2325,2605,2689,2898,3312,3350,2346,2557,2847,3020,2892,3216,3522,5139,6414,6460,8274,8935,11715,18012,10462,10659,10704,12278,17873,22578,20994,21495,16260,9511,11045,21844,20429,21345,26742,28987,23807,26109,30272,32110,33436
 "49000","Utah",7,SAINC50,230,"..."," State and local personal property taxes","Thousands of dollars",1212,1353,1456,1571,1706,1840,1962,2027,1937,1802,2121,3738,4363,4959,5170,5747,6158,6785,7160,7889,8733,8121,7895,9692,11473,11043,10695,11329,12093,12346,15163,16979,18728,16106,12100,12718,11278,16221,22936,24752,24929,27292,26786,26144,26842,29318,44123,43927,59524,65566,63614,40162,33406,36366,38535,31846,31914,43050,43345,36714,37944,33571,38546,38146,38396,37305,41330,43519,45295,47141,49365,52263,53671
"Note: See the included footnote file."
"SAINC50: Personal Current Taxes "
"Last updated: March 23, 2022— revised statistics for 2010-2020."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
